software,reference,group,score,scoreN,score1,score1N,score2,score2N,score3,score3N,score4,score4N,score5,score5N,1_2_3,1_3_1,1_3,1_5_1,1_5_2,1_6_1,1_6_2,2_1,2_2,2_3,2_4,3_1_1,3_1_2,3_1_3,3_1_4,3_1_5_1,3_1_5_2,3_1_5_3,3_1_5_4,3_2_1,3_2_2,3_2_3,3_2_4,4_1,4_2,4_3_1,4_3_2,4_3_3,4_3_4,4_3_5,5_1,5_2_1,5_2_2,5_2_3,5_2_4,5_3_1,5_3_2,5_3_3,5_4_1,5_4_2,description,link
SAS-OMEGA,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Program computes Hauptman's three-phase structure invariant estimate for SAS data [omega = ph(h)+ph(k)+ph(l)]. Program Prequires 6 distinct magnitudes [E(h),E(k),E(l),E(-h),E(-k), E(-l), where h+k+l=0] and chemical composition of the cell",http://www.iucr.org/resources/other-directories/software/sas-omega
SASSIE Contrast Calculator,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A new software tool,available within the SASSIE software suite, designed to assist in planning small-angle neutron scattering experiments with contrast variation on protein and nucleic acid complexes.",http://www.iucr.org/resources/other-directories/software/sassie-contrast-calculator
SASTBX,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A novel software platform for the analysis of biological small-angle scattering.,http://www.iucr.org/resources/other-directories/software/sastbx
SAXSMorph,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Program to generate three-dimensional representative morphologies of two-phase systems using small-angle X-ray or neutron scattering data. The morphologies thus generated have the correct length scales and degree of connectivity with respect to the sample and are a useful visualization tool. The program also offers statistical analysis of the generated morphology and is user friendly and platform independent.,http://www.iucr.org/resources/other-directories/software/saxsmorph
SCANPS,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,protein sequence database scanning using,http://www.iucr.org/resources/other-directories/software/scanps
SCARECROW,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A graphics proram for the analysis and display of molecular dynamics trajectories.,http://www.iucr.org/resources/other-directories/software/scarescrow
SCAT771,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Having a set of h k l values and powder intensities, apply Lp and multiplicity corrections for any point group, and convert the intensity data into corresponding structure factors. Calculate the structure factors for the supplied set of h k l values, correct the structure factors for anomalous dispersion effects for 10 different wavelengths, calculate the real and imaginary parts of the structure factors, calculate the sin(theta)/lambda values and the atomic scattering factors of all the atoms that you specify in the structure and much more. EExists as GUI version named scat771win.",http://www.iucr.org/resources/other-directories/software/scat771
Scatfac,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X-ray atomic scattering factor display software which can display 1 to 2 elements on the screen. Can also output the data to an ASCII file.,http://www.iucr.org/resources/other-directories/software/scatfac
SDP for Windows,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Complete crystallographic software package for small molecule structures, including data reduction, structure solution and refinement, calculation of derived parameters, real-time interactive graphics, presentation graphics and preparation of text and tables for publication. Windows 3.1, Windows 95 and Windows 98.",http://www.iucr.org/resources/other-directories/software/sdp-for-windows
SDS,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ordinary Structure Refinement Program,http://www.iucr.org/resources/other-directories/software/sds
Searchmatch,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Search match program for use with the International Centre for Diffraction Data's Powder Diffraction File: - powerful search algorithm for multi-phase identification - lightning-fast search using raw data, peak data or a combination of the two - fully integrated Boolean PDF card retrieval and display - user database, with interface to Crystallographica - fully integrated peak search and background subtraction tools - powder pattern simulation, including multi-phase mixtures - reads most common file formats - if not just ask! - writes reports directly to Microsoft Word",http://www.iucr.org/resources/other-directories/software/searchmatch
SEQIO,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A package for reading and writing sequence files (JR Knight, UC Davis).",http://www.iucr.org/resources/other-directories/software/seqio
SETOR,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High-quality rendering of raster images of macromolecules that can undergo rotation and translation interactively .,http://www.iucr.org/resources/other-directories/software/setor
SEXIE,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calculation of Coordination Shells and Geometries,http://www.iucr.org/resources/other-directories/software/sexie
SF2CNS,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General purpose program to calculate <i>CNS</i>-formatted maps easily.,http://www.iucr.org/resources/other-directories/software/sf2cns
SFAC331,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,For the generation and calculation of the X-ray structure factors and the real and imaginary parts of the structure factors of any crystalline system. Highly useful for beginners in the field. Exists as GUI versions named sfac331win and sfac331_mix for mixed structures.,http://www.iucr.org/resources/other-directories/software/sfac331
SgInfo,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A comprehensive collection of ANSI C routines for the handling of space group symmetry from Switzerland's ETH.,http://www.iucr.org/resources/other-directories/software/sginfo
SHADE,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Estimates anisotropic displacement parameters for hydrogen atoms by combining a rigid-body analysis of the non-hydrogen-atom anisotropic displacement parameters (ADPs) with a contribution from internal atomic motion.,http://www.iucr.org/resources/other-directories/software/shade
SHADOW,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Powder program. Peak fitting, see CCP14",http://www.iucr.org/resources/other-directories/software/shadow
ShakePSD,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To solve the structures of organic compounds automatically. Can discriminate whether a heavy-atom is included or not and can employ heavy-atom methods (Patterson function and search for all remaining atoms) or direct methods (tangent formula and/or minimal function).,http://www.iucr.org/resources/other-directories/software/shakepsd
Shape_CCMS,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Analysis of structure and chemistry at the molecular surface.,http://www.iucr.org/resources/other-directories/software/shape_ccms
Shark frame grabber,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high quality digitisation of an image or diffraction pattern.,http://www.iucr.org/resources/other-directories/software/shark-frame-grabber
SHARP,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Statistical Heavy Atom Refinement and Phasing program,http://www.iucr.org/resources/other-directories/software/sharp
SHELX-97,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Set of programs for crystal structure determination from single-crystal diffraction data. Runs on all systems including DOS. See also SHELXS for PC versions.,http://www.iucr.org/resources/other-directories/software/shelx-97
SHELXL2013,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some of the improvements in SHELX2013 make SHELXL convenient to use for refinement of macromolecular structures against neutron data without the support of X-ray data.,http://www.iucr.org/resources/other-directories/software/shelxl2013
SHELXS,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC version (DOS and Windows) of the structure solution program SHELXS-86 by G. Sheldrick. Availability is restricted to registered users only. For registration as well as for versions for others systems. see SHELX-97.,http://www.iucr.org/resources/other-directories/software/shelxs
Shift_plot,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shift_plot may be useful for visual analysis of magnitudes of atomic shifts in refinement.,http://www.iucr.org/resources/other-directories/software/shift_plot
SINGLE,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SINGLE can be used to control a variety of four-circle Eulerian-cradle single-crystal diffractometers including Hubers, the Stoe Stadi-4 and the Siemens P4.",http://www.iucr.org/resources/other-directories/software/single
Single Crystal,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"To visualize the reciprocal lattice, simulate electron diffraction patterns and display stereographic projections. SingleCrystal reads from CrystalMaker binary files - or loads data directly from CrystalMaker via a menu command. Real-time manipulation and measurement is possible.",http://www.iucr.org/resources/other-directories/software/single-crystal
SIR2002,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<i>Ab initio</i> resolution of macromolecular crystal structures.,http://www.iucr.org/resources/other-directories/software/sir2002
SIR2011,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The successor of SIR2004 and the latest program of the SIR suite.,http://www.iucr.org/resources/other-directories/software/sir2011
SIR97,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evolution of SIR92. Integrated package of computer programs for the solution and refinement of crystal structures using single crystal data.,http://www.iucr.org/resources/other-directories/software/sir97
SITCOM,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facilitates the comparison of macromolecular substructures from different sources for validation purposes and to construct a consensus model containing sites from different substructures.,http://www.iucr.org/resources/other-directories/software/sitcom
Situs,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Program package for the docking of protein crystal structures to single-molecule, low-resolution maps from electron microscopy. Developed to provide a robust and quantitative method for the localization of biomolecular subunits in low-resolution data. Use of single-molecule density maps that can be obtained by subtraction of maps from specimens of variable subunit composition. The central algorithm is a topology-representing neural network to correlate features within the structural data sets.",http://www.iucr.org/resources/other-directories/software/situs
SnB,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Based on Shake-and-Bake, a dual-space direct methods procedure for determining crystal structures from X-ray diffraction data.",http://www.iucr.org/resources/other-directories/software/snb
SOWOS,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Program for the determination of the Wulff construction starting solely from the directions of the bounding facets.,http://www.iucr.org/resources/other-directories/software/sowos
Space Group Explorer,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gives you immediate access to much of the information which is available in the International Tables for Electron Crystallography, on-line in your own PC.",http://www.iucr.org/resources/other-directories/software/space-group-explorer
SPACER,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A program to display space-group information for a conventional and nonconventional coordinate system,http://www.iucr.org/resources/other-directories/software/spacer
SPASM,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool for pattern recognition in protein structures at the level of assemblies of individual residues. See DEJAVU for the same at the level of fold.,http://www.iucr.org/resources/other-directories/software/spasm
SPE,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Space Group Explorer (SPE) for Windows. Gives you immediate access to much of the information which is available in the International Tables for Electron Crystallography, on-line in your own PC.",http://www.iucr.org/resources/other-directories/software/spe
SPEC,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tools for acquiring, analyzing and plotting data",http://www.iucr.org/resources/other-directories/software/spec
SPGR4D,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Computer program to derive (3 1)-dimensional symmetry operations from two-line symbols.,http://www.iucr.org/resources/other-directories/software/spgr4d
SR5,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rietveld program by Rod Hill and Ian Madsen (Ian.Madsen@csiro.au) of CSIRO Division of Minerals, Melbourne, Australia",http://www.iucr.org/resources/other-directories/software/sr5
SrRietveld,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SrRietveld extends and automates the popular existing Rietveld programs FullProf and GSAS to facilitate studies that involve many refinements, such as the analysis of large numbers of data sets.doi:10.1107/S0021889812045967/db5090sup1.zip   (windows)doi:10.1107/S0021889812045967/db5090sup2.tar.gz (Linux, Unix or Mac)",http://www.iucr.org/resources/other-directories/software/srrietveld
SSM,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Interactive service for comparing protein structures in 3D. Allows for: comparison of two structures, examination of a structure for similarity with the whole PDB or SCOP archives, best Ca-alignment of compared structures, download and visualization of best-superposed structures using RasMol (Unix/Linux platforms) or RasTop (MS Windows machines), linking the results to other services - OCA, SCOP, GeneCensus, FSSP, 3Dee, CATH, PDBSum, SWISS-PROT and ProtoMap. SSM (Secondary Structure Matching) on homepage for PDBe Fold.",http://www.iucr.org/resources/other-directories/software/ssm
STAMP,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alignment and analysis of protein 3-D structures.,http://www.iucr.org/resources/other-directories/software/stamp
STNET,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drawing of Wulf nets. Part of the CCP4 suite,http://www.iucr.org/resources/other-directories/software/stnet
STRATEGY,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Program to aid in data collection strategy. You can run it after indexing the first frame using DENZO. Given the space group, it determines the spindle angle to start the data collection at.",http://www.iucr.org/resources/other-directories/software/strategy
Structure Tidy,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Puts crystal structures into standardized co-ordinates for comparison with other structures (to check if identical or isotypic). Available within Ton Spek's Platon (since Dec 2004). Parthe, E. &amp; Gelato, L. M. (1984). <i>Acta Cryst.</i> A<b>40</b>, 169&ndash;183; Hu, S.-Z. &amp; Parthe, E. (2004). <i>Chin. J. Struct. Chem.</i> <b>23</b>, 1150&ndash;1160.",http://www.iucr.org/resources/other-directories/software/structure-tidy2
SUBGROUPGRAPH,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Analysis of group-subgroup relations between space groups. Available both as stand alone program or through a Web interface.,http://www.iucr.org/resources/other-directories/software/subgroupgraph
Suites_for_small_molecules,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Review on suites of programs for small molecules,http://www.iucr.org/resources/other-directories/software/suites_for_small_molecules
SUPERFLIP,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Solve crystal structures from diffraction data using the recently developed charge-flipping algorithm. It can solve periodic structures, incommensurately modulated structures and quasicrystals from X-ray and neutron diffraction data.",http://www.iucr.org/resources/other-directories/software/superflip
SURFNET,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Generates surfaces and void regions between surfaces from coordinate data supplied in a PDB file.,http://www.iucr.org/resources/other-directories/software/surfnet
Swiss-PdbViewer,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Macintosh application that provides a user friendly interface allowing analysis of several proteins at the same time.,http://www.iucr.org/resources/other-directories/software/swiss-pdbviewer
SYMMOL,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Symmetrizes a group of atoms whose coordinates, either orthogonal or oblique, are given in input. It prints out information about the given set of atoms and information concerning its symmetry: the symmetrized orthogonal coordinates together the point group (PG), the labels and the equivalent positions. Some quantities showing the goodness-of-fit are also printed: the rms on the coordinates, the molecular rms, the maximum deviation of the coordinates of the atom from the symmetrized ones and the continuous symmetry measure (CSM) for the whole PG and for the single elements of the PG.",http://www.iucr.org/resources/other-directories/software/symmol
TER_SL,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calculates x-ray specular reflection from multilayers at grazing incidence. It can account for small interface roughness using Nevot and Croce's method, and the high rms roughness can be simulated with transition layers.",http://www.iucr.org/resources/other-directories/software/ter_sl
TESTSYM,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cell symetry checking, see CCP14.",http://www.iucr.org/resources/other-directories/software/testsym
TeXsan,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"From data processing to structure solution, modeling, refinement",http://www.iucr.org/resources/other-directories/software/texsan
TOP,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Protein TOPological comparison program which detects whether there are structural similarities between two proteins.,http://www.iucr.org/resources/other-directories/software/top
TOPAS-Academic,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General non-linear least squares system driven by a scripting language. Applied to solid state chemistry and optimization. Contains minimization routines wrapped by a computer algebra system; it is this foundation that makes subject dependent modules such as Rietveld refinement shine. Academic version of BRUKER-AXS TOPAS.,http://www.iucr.org/resources/other-directories/software/topas-academic
TOPOS,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Package for calculation of geometrical and topological properties of crystal structures.,http://www.iucr.org/resources/other-directories/software/topos
TOPXD,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Topological analysis program for experimental static electron density based on Hansen-Coppens multipole formalism,http://www.iucr.org/resources/other-directories/software/topxd
Torsions,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phi-psi values from a PDB file. Author: Andrew CR Martin at UCL.,http://www.iucr.org/resources/other-directories/software/torsions
TRACER,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cell symetry checking, see CCP14.",http://www.iucr.org/resources/other-directories/software/tracer
TRACES,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIFFTECH Powder X-ray Diffraction Software,http://www.iucr.org/resources/other-directories/software/traces
TRANSQ,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General purpose program for the simulation of white beam Laue topographs.,http://www.iucr.org/resources/other-directories/software/transq
TreeView,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TreeView,http://www.iucr.org/resources/other-directories/software/treeview
TREOR90,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"indexing, see CCP14.",http://www.iucr.org/resources/other-directories/software/treor90
TriMerge,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A full understanding of a structure can only be obtained from a three dimensional reconstruction of the structure. Our 3-dimensional programs TriMerge and TriView allow the 3-dimensional reconstruction of a structure from a tilt series of electron micrograph images, and the visualisation on the PC screen.",http://www.iucr.org/resources/other-directories/software/trimerge
Triple,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Triple is used for processing diffraction intensities, obtained from either electron diffraction or X-ray diffraction or from amplitudes and phases obtained from high resolution electron microscopy images.",http://www.iucr.org/resources/other-directories/software/triple
Triton,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Image processing by Fourier transforms and wavelets.,http://www.iucr.org/resources/other-directories/software/triton
TriView,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TriView for the 3-dimensional reconstruction of a structure on a PC. TriView gives PC users access to visualisation techniques normally only available on expensive workstations, and advanced programming ensures rapid response times, even on a PC.",http://www.iucr.org/resources/other-directories/software/triview
TRY,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Helps in crystal structure analysis of hard problems, with many atoms and few diffraction data, from the early stages (getting the correct model by trial), to the refinement stage.",http://www.iucr.org/resources/other-directories/software/try
Turbo Frodo,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"General purpose molecular modelling environment to model de novo macromolecules, polypeptides as well as nucleic acids, to build such macromolecules from experimental 3-D data obtained from X-ray crystallography and NMR and to display the resulting models using various representations including Van der Waals and Connolly's molecular dot surfaces as well as spline surfaces. For Linux and HPUX use the Turbo Frodo X version.",http://www.iucr.org/resources/other-directories/software/turbo-frodo
TVtueb,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2D analysis of paramagentic diffuse neutron scattering data. Program by Jens-Uwe Hoffmann and Rainer Schneider at HMI Berlin.,http://www.iucr.org/resources/other-directories/software/tvtueb
TWIN3.0,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The principle features of Twin3.0 for Windows are: 1. Single crystal data sets can be tested if they are subject to twinning by merohedry; 2.The volume fractions of the different twin domains can be estimated.,http://www.iucr.org/resources/other-directories/software/twin3.0
UMWEG,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calculation and graphical representation of multiple diffraction patterns (Renninger-scans).,http://www.iucr.org/resources/other-directories/software/umweg
UNISOFT,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lattice-dynamical investigations. Tool for phenomenological model calculations and optimisation of experiments. Calculate and display modes of lattice vibrations,http://www.iucr.org/resources/other-directories/software/unisoft
UnitCell,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Refines cell parameters from powder diffraction data. Unlike most existing cell refinement programs it does not require initial estimates for cell constants. Incorporates regression diagnostics.,http://www.iucr.org/resources/other-directories/software/unitcell
USF,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Uppsala Software Factory. Manuals for (most of) Gerard's programs and links to other useful O or O-related information, programs and resources.",http://www.iucr.org/resources/other-directories/software/usf
UXDSUM,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utility for the summation of several powder patterns contained in a Bruker .uxd file. The result is also a .uxd file containing one pattern. Fortran source code included together with an example.,http://www.iucr.org/resources/other-directories/software/uxdsum
VALENCE,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calculates the bond valence given the length of a particular bond, or the bond length given the valence for inorganic materials. Also calculates the bond valence parameter that results in an exact fit to a given coordination sphere.Source code is available and a Windows interface would be welcome.",http://www.iucr.org/resources/other-directories/software/valence
VALIST,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calculates bond valences for each bond listed in the input file.,http://www.iucr.org/resources/other-directories/software/valist
vcif,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<i>vcif</i> is a simple syntax checker for files in CIF format, including data and dictionary files. It may be used to scan any text file and outputs informative messages about apparent errors in CIF syntax.",http://www.iucr.org/resources/other-directories/software/vcif
VCIF2,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vcif2 is an extended version of vcif, the syntax checker for files in CIF format. vcif2 will verify compliance with CIF 1.0, CIF 1.1 or mmCIF file formats; and will accept an arbitrary list of layered DDL1 and DDL2 dictionaries against which units, enumerations, parent-child relationships and category integrity will be checked.",http://www.iucr.org/resources/other-directories/software/vcif2
VCT,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Variable count time data collection for Rietveld refinement.,http://www.iucr.org/resources/other-directories/software/vct
VEC,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"VEC is a DOS program that comes with the book. Makes predictions for the most probable structural features of valence compounds (Zintl phases). For a given chemical formula crystal chemical, parameters are calculated which are used to predict the average number of homonuclear bonds. Assuming that a structure with an anionic or neutral tetrahedron complex exists, these parameters serve also to select the probable base tetrahedra with which the complex can be constructed. On the screen are shown schematic drawings of the selected base tetrahedra.",http://www.iucr.org/resources/other-directories/software/vec
Vector NTI,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,viewer which helps applications within WWW,http://www.iucr.org/resources/other-directories/software/vector-nti
VEGA,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bridge between most of the molecular software packages, like BioDock, Quanta/CHARMm, Insight II, MoPac, etc. In this tool have been also implemented some features that are useful to analyze, display and manage the 3D structures of molecules.",http://www.iucr.org/resources/other-directories/software/vega
VIBRATZ,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Complete normal-coordinate calculation on any molecule or crystal, using traditional valence force constants and/or Urey-Bradley force constants.",http://www.iucr.org/resources/other-directories/software/vibratz
